,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,pacific grove,38.48,-90.74,52.0,86,1,5.61,US,1607659939
1,norwich,52.63,1.3,44.6,93,100,14.99,GB,1607659939
2,vaini,-21.2,-175.2,84.2,79,20,11.41,TO,1607659939
3,sainte-anne-des-monts,49.12,-66.49,28.4,79,54,9.17,CA,1607659939
4,flinders,-34.58,150.86,66.2,45,75,14.99,AU,1607659940
5,guerrero negro,17.67,-100.0,65.8,74,8,4.0,MX,1607659940
6,fortuna,40.6,-124.16,46.99,94,44,2.3,US,1607659940
7,alugan,12.22,125.48,84.69,73,5,6.98,PH,1607659940
8,shimoda,34.67,138.95,60.8,67,75,10.29,JP,1607659940
9,hithadhoo,-0.6,73.08,82.15,75,6,12.97,MV,1607659941
10,grand gaube,38.88,-109.5,30.2,33,75,5.82,US,1607659941
11,jamestown,42.1,-79.24,32.0,97,1,6.93,US,1607659929
12,port elizabeth,-7.03,29.76,71.02,74,94,7.87,CD,1607659941
13,bluff,-46.6,168.33,48.0,88,100,11.01,NZ,1607659941
14,ushuaia,-54.8,-68.3,50.0,76,75,4.92,AR,1607659807
15,cape town,-36.41,-71.9,53.6,71,0,3.36,CL,1607659942
16,pochutla,15.74,-96.47,77.0,78,75,3.36,MX,1607659942
17,vanimo,-2.67,141.3,85.62,66,99,3.56,PG,1607659942
18,kuminskiy,58.67,66.57,15.78,91,1,6.89,RU,1607659942
19,graham,47.05,-122.29,41.0,93,90,4.7,US,1607659700
20,atuona,-9.8,-139.03,79.23,76,9,19.71,PF,1607659943
21,bambous virieux,-20.26,57.41,81.0,61,20,10.29,MU,1607659943
22,zeerust,-25.54,26.08,66.2,82,0,2.24,ZA,1607659943
23,cayenne,4.93,-52.33,77.0,100,75,1.12,GF,1607659934
24,hovd,48.01,91.64,7.09,67,1,6.69,MN,1607659944
25,busselton,-33.65,115.33,93.99,9,4,5.68,AU,1607659944
26,arraial do cabo,-22.84,-46.65,69.8,77,0,9.17,BR,1607659944
27,santo tomas,-0.59,-80.0,72.93,89,88,3.24,EC,1607659944
28,hilo,19.73,-155.09,78.8,65,20,10.29,US,1607659944
29,severo-yeniseyskiy,60.37,93.04,-22.22,88,82,1.9,RU,1607659945
30,punta arenas,8.99,125.34,88.9,59,18,4.03,PH,1607659945
31,carmen,18.63,-91.83,72.57,73,15,10.45,MX,1607659945
32,adrar,20.5,-10.07,58.1,29,56,9.82,MR,1607659945
33,rikitea,-23.12,-134.97,77.22,79,60,14.23,PF,1607659868
34,benghazi,32.12,20.07,61.63,54,5,12.1,LY,1607659945
35,touros,-5.2,-35.46,75.2,94,40,3.36,BR,1607659946
36,geraldton,-28.77,114.6,86.0,45,0,10.29,AU,1607659946
37,iqaluit,63.75,-68.51,21.2,73,75,10.29,CA,1607659897
38,port lincoln,-7.03,29.76,71.02,74,94,7.87,CD,1607659941
39,new norfolk,6.65,-10.59,77.0,94,75,0.83,LR,1607659720
40,thompson,55.74,-97.86,-2.2,84,40,3.36,CA,1607659730
41,tuktoyaktuk,69.45,-133.04,-9.4,76,75,11.41,CA,1607659872
42,mys shmidta,62.06,48.62,15.78,92,10,6.93,RU,1607659947
43,bethel,41.37,-73.41,30.99,86,1,1.32,US,1607659868
44,dingle,11.0,122.67,85.86,75,73,7.65,PH,1607659947
45,hudson bay,40.72,-74.07,42.8,72,1,3.36,US,1607659947
46,grindavik,63.84,-22.43,41.0,86,90,12.75,IS,1607659948
47,caravelas,-17.71,-39.25,77.45,80,93,11.1,BR,1607659889
48,graaff-reinet,-32.25,24.53,62.01,95,81,2.46,ZA,1607659885
49,mataura,-46.19,168.86,48.0,88,81,11.01,NZ,1607659867
50,okhotsk,59.38,143.3,-10.98,83,0,16.49,RU,1607659948
51,linxia,35.6,103.21,30.65,85,73,1.99,CN,1607659948
52,albany,42.6,-73.97,36.0,83,13,2.8,US,1607659949
53,sydney,-33.87,151.21,68.0,56,75,18.34,AU,1607659754
54,avarua,-21.21,-159.78,75.2,88,64,25.28,CK,1607659873
55,mackay,-21.15,149.2,86.0,55,37,19.46,AU,1607659949
56,hobart,-42.88,147.33,71.01,55,20,18.34,AU,1607659949
57,kizema,61.11,44.83,14.95,94,0,6.06,RU,1607659950
58,sao gabriel da cachoeira,20.51,76.21,73.53,46,90,13.65,IN,1607659950
59,barrow,71.29,-156.79,-7.6,69,20,12.75,US,1607659885
60,belfast,54.58,-5.93,48.2,93,83,3.36,GB,1607659743
61,alofi,-19.06,-169.92,82.4,74,75,21.92,NU,1607659950
62,coos bay,43.17,-124.0,42.8,100,90,5.82,US,1607659950
63,mar del plata,43.4,-4.01,60.01,100,75,27.51,ES,1607659951
64,dunedin,-45.87,170.5,57.99,52,74,3.0,NZ,1607659951
65,klaksvik,62.23,-6.59,44.6,100,100,28.86,FO,1607659951
66,yellowknife,62.46,-114.35,-5.8,76,20,6.93,CA,1607659951
67,porto novo,41.15,-8.61,59.0,100,75,9.17,PT,1607659829
68,airai,-8.93,125.41,75.61,78,91,2.19,TL,1607659952
69,lavrentiya,65.58,-171.0,6.28,91,55,10.6,RU,1607659952
70,omsukchan,62.53,155.8,3.22,91,100,3.38,RU,1607659952
71,mahebourg,-20.41,57.7,78.8,61,20,10.29,MU,1607659952
72,molepolole,-24.41,25.5,69.8,68,40,6.93,BW,1607659952
73,esperance,-33.87,121.9,73.4,60,90,12.75,AU,1607659952
74,puerto ayora,36.59,-6.23,63.0,93,40,12.75,ES,1607659953
75,dikson,73.51,80.55,-7.78,88,100,26.19,RU,1607659953
76,khatanga,71.97,102.5,-33.14,84,97,7.65,RU,1607659953
77,moroni,-11.7,43.26,80.94,71,76,8.57,KM,1607659953
78,mandalgovi,45.76,106.27,4.42,93,93,3.27,MN,1607659953
79,kampli,15.4,76.62,74.43,61,0,8.03,IN,1607659953
